#纬度,经度,学校,省份,层次,全国热度排名,类别,类别排名,网址,学校抓取编码
26.00054198,119.3781876,福州外语外贸职业技术学院,福建,高职高专,2260,财经类,223,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1910.htm,1910
25.93028898,119.5057877,福州外语外贸学院,福建,普通本科,1803,财经类,177,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2838.htm,2838
26.07255726,119.2012282,福建江夏学院,福建,普通本科,1007,财经类,89,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2606.htm,2606
26.58450621,118.2618685,闽北职业技术学院,福建,高职高专,2572,综合类,667,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1875.htm,1875
26.08503266,119.2866463,福州黎明职业技术学院,福建,高职高专,1493,财经类,144,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1556.htm,1556
24.44801214,118.0800629,厦门演艺职业学院,福建,高职高专,2302,艺术类,79,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1900.htm,1900
24.60983823,118.2574337,厦门华天涉外职业技术学院,福建,高职高专,1713,综合类,444,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1186.htm,1186
26.08573681,119.2538419,福州科技职业技术学院,福建,高职高专,2754,综合类,702,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1915.htm,1915
24.9117256,118.5470152,泉州经贸职业技术学院,福建,高职高专,2180,财经类,218,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1876.htm,1876
26.07991608,119.5113442,福建对外经济贸易职业技术学院,福建,高职高专,1963,财经类,196,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1877.htm,1877
25.27294438,118.864308,湄洲湾职业技术学院,福建,高职高专,2500,理工类,819,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1878.htm,1878
28.68754596,115.9600776,南昌师范高等专科学校,江西,高职高专,1535,师范类,162,http://gkcx.eol.cn/schoolhtm/schoolTemple/school872.htm,872
27.97490187,116.3648871,江西中医药高等专科学校,江西,高职高专,1270,医药类,113,http://gkcx.eol.cn/schoolhtm/schoolTemple/school870.htm,870
28.90102593,115.8225637,江西先锋软件职业技术学院,江西,高职高专,2281,理工类,736,http://gkcx.eol.cn/schoolhtm/schoolTemple/school924.htm,924
36.64341732,117.9920323,淄博师范高等专科学校,山东,高职高专,1359,师范类,150,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2095.htm,2095
37.44260107,121.6411332,山东中医药高等专科学校,山东,高职高专,1458,医药类,126,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2096.htm,2096
38.29434728,116.8092289,沧州医学高等专科学校,河北,高职高专,1382,医药类,122,http://gkcx.eol.cn/schoolhtm/schoolTemple/school652.htm,652
